goal,plan,question,answer,prompt
(and (at package1 s4) (at package2 s2) (at package3 s2) (at package4 s3)),"1: board-truck(driver1, truck2, s3) ; 2: drive-truck(truck2, s3, s1, driver1) ; 3: load-truck(package4, truck2, s1) ; 4: load-truck(package1, truck2, s1) ; 5: drive-truck(truck2, s1, s3, driver1) ; 6: unload-truck(package4, truck2, s3) ; 7: drive-truck(truck2, s3, s4, driver1) ; 8: load-truck(package3, truck2, s4) ; 9: load-truck(package2, truck2, s4) ; 10: unload-truck(package1, truck2, s4) ; 11: drive-truck(truck2, s4, s2, driver1) ; 12: unload-truck(package3, truck2, s2) ; 13: unload-truck(package2, truck2, s2)","Is the action in Step 2 (drive-truck(truck2, s3, s1, driver1)) 'very busy' in the sense that its effect '('at', 'truck2', 's1')' is used by the next step, Step 3 (load-truck(package4, truck2, s1))?",Yes,"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Very Busy Expressions
Definition: An expression is very busy if on every path forward from that point, the expression will be evaluated before any operand changes.

Given the following planning task:

  Goal: (and (at package1 s4) (at package2 s2) (at package3 s2) (at package4 s3))

  Plan steps:
1: board-truck(driver1, truck2, s3)
2: drive-truck(truck2, s3, s1, driver1)
3: load-truck(package4, truck2, s1)
4: load-truck(package1, truck2, s1)
5: drive-truck(truck2, s1, s3, driver1)
6: unload-truck(package4, truck2, s3)
7: drive-truck(truck2, s3, s4, driver1)
8: load-truck(package3, truck2, s4)
9: load-truck(package2, truck2, s4)
10: unload-truck(package1, truck2, s4)
11: drive-truck(truck2, s4, s2, driver1)
12: unload-truck(package3, truck2, s2)
13: unload-truck(package2, truck2, s2)

Question:
  Is the action in Step 2 (drive-truck(truck2, s3, s1, driver1)) 'very busy' in the sense that its effect '('at', 'truck2', 's1')' is used by the next step, Step 3 (load-truck(package4, truck2, s1))?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly."
(and (on d1 d2) (clear d1) (on d2 d3) (on d3 peg1) (clear peg2) (clear peg3)),"1: move(d1, peg2, d3) ; 2: move(d2, peg1, peg2) ; 3: move(d1, d3, d2) ; 4: move(d3, peg3, peg1) ; 5: move(d1, d2, peg3) ; 6: move(d2, peg2, d3) ; 7: move(d1, peg3, d2)","Is the action in Step 4 (move(d3, peg3, peg1)) 'very busy' in the sense that its effect '('clear', 'peg3')' is used by the next step, Step 5 (move(d1, d2, peg3))?",Yes,"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Very Busy Expressions
Definition: An expression is very busy if on every path forward from that point, the expression will be evaluated before any operand changes.

Given the following planning task:

  Goal: (and (on d1 d2) (clear d1) (on d2 d3) (on d3 peg1) (clear peg2) (clear peg3))

  Plan steps:
1: move(d1, peg2, d3)
2: move(d2, peg1, peg2)
3: move(d1, d3, d2)
4: move(d3, peg3, peg1)
5: move(d1, d2, peg3)
6: move(d2, peg2, d3)
7: move(d1, peg3, d2)

Question:
  Is the action in Step 4 (move(d3, peg3, peg1)) 'very busy' in the sense that its effect '('clear', 'peg3')' is used by the next step, Step 5 (move(d1, d2, peg3))?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly."
(and (at package1 s2) (at package2 s1) (at package3 s2)),"1: board-truck(driver1, truck1, s1) ; 2: load-truck(package3, truck1, s1) ; 3: load-truck(package1, truck1, s1) ; 4: drive-truck(truck1, s1, s2, driver1) ; 5: unload-truck(package3, truck1, s2) ; 6: unload-truck(package1, truck1, s2)","Is the action in Step 4 (drive-truck(truck1, s1, s2, driver1)) 'very busy' in the sense that its effect '('at', 'truck1', 's2')' is used by the next step, Step 5 (unload-truck(package3, truck1, s2))?",Yes,"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Very Busy Expressions
Definition: An expression is very busy if on every path forward from that point, the expression will be evaluated before any operand changes.

Given the following planning task:

  Goal: (and (at package1 s2) (at package2 s1) (at package3 s2))

  Plan steps:
1: board-truck(driver1, truck1, s1)
2: load-truck(package3, truck1, s1)
3: load-truck(package1, truck1, s1)
4: drive-truck(truck1, s1, s2, driver1)
5: unload-truck(package3, truck1, s2)
6: unload-truck(package1, truck1, s2)

Question:
  Is the action in Step 4 (drive-truck(truck1, s1, s2, driver1)) 'very busy' in the sense that its effect '('at', 'truck1', 's2')' is used by the next step, Step 5 (unload-truck(package3, truck1, s2))?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly."
(and (at c0 l3) (at c1 l3) (at c2 l2)),"1: sail(l3, l1) ; 2: board(c0, l1) ; 3: sail(l1, l3) ; 4: debark(c0, l3)","Is the action in Step 1 (sail(l3, l1)) 'very busy' in the sense that its effect '('at-ferry', 'l1')' is used by the next step, Step 2 (board(c0, l1))?",Yes,"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Very Busy Expressions
Definition: An expression is very busy if on every path forward from that point, the expression will be evaluated before any operand changes.

Given the following planning task:

  Goal: (and (at c0 l3) (at c1 l3) (at c2 l2))

  Plan steps:
1: sail(l3, l1)
2: board(c0, l1)
3: sail(l1, l3)
4: debark(c0, l3)

Question:
  Is the action in Step 1 (sail(l3, l1)) 'very busy' in the sense that its effect '('at-ferry', 'l1')' is used by the next step, Step 2 (board(c0, l1))?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly."
(and (at package1 s3) (at package2 s2) (at package3 s2) (at package4 s1)),"1: walk(driver2, s2, s3) ; 2: board-truck(driver2, truck1, s3) ; 3: drive-truck(truck1, s3, s1, driver2) ; 4: load-truck(package1, truck1, s1) ; 5: drive-truck(truck1, s1, s3, driver2) ; 6: unload-truck(package1, truck1, s3) ; 7: drive-truck(truck1, s3, s4, driver2) ; 8: load-truck(package3, truck1, s4) ; 9: load-truck(package2, truck1, s4) ; 10: drive-truck(truck1, s4, s2, driver2) ; 11: unload-truck(package3, truck1, s2) ; 12: unload-truck(package2, truck1, s2)","Is the action in Step 1 (walk(driver2, s2, s3)) 'very busy' in the sense that its effect '('at', 'driver2', 's3')' is used by the next step, Step 2 (board-truck(driver2, truck1, s3))?",Yes,"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Very Busy Expressions
Definition: An expression is very busy if on every path forward from that point, the expression will be evaluated before any operand changes.

Given the following planning task:

  Goal: (and (at package1 s3) (at package2 s2) (at package3 s2) (at package4 s1))

  Plan steps:
1: walk(driver2, s2, s3)
2: board-truck(driver2, truck1, s3)
3: drive-truck(truck1, s3, s1, driver2)
4: load-truck(package1, truck1, s1)
5: drive-truck(truck1, s1, s3, driver2)
6: unload-truck(package1, truck1, s3)
7: drive-truck(truck1, s3, s4, driver2)
8: load-truck(package3, truck1, s4)
9: load-truck(package2, truck1, s4)
10: drive-truck(truck1, s4, s2, driver2)
11: unload-truck(package3, truck1, s2)
12: unload-truck(package2, truck1, s2)

Question:
  Is the action in Step 1 (walk(driver2, s2, s3)) 'very busy' in the sense that its effect '('at', 'driver2', 's3')' is used by the next step, Step 2 (board-truck(driver2, truck1, s3))?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly."
(and (at package1 s1) (at package2 s3)),"1: board-truck(driver1, truck1, s3) ; 2: drive-truck(truck1, s3, s1, driver1) ; 3: load-truck(package2, truck1, s1) ; 4: drive-truck(truck1, s1, s3, driver1) ; 5: unload-truck(package2, truck1, s3)","Is the action in Step 1 (board-truck(driver1, truck1, s3)) 'very busy' in the sense that its effect '('driving', 'driver1', 'truck1')' is used by the next step, Step 2 (drive-truck(truck1, s3, s1, driver1))?",Yes,"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Very Busy Expressions
Definition: An expression is very busy if on every path forward from that point, the expression will be evaluated before any operand changes.

Given the following planning task:

  Goal: (and (at package1 s1) (at package2 s3))

  Plan steps:
1: board-truck(driver1, truck1, s3)
2: drive-truck(truck1, s3, s1, driver1)
3: load-truck(package2, truck1, s1)
4: drive-truck(truck1, s1, s3, driver1)
5: unload-truck(package2, truck1, s3)

Question:
  Is the action in Step 1 (board-truck(driver1, truck1, s3)) 'very busy' in the sense that its effect '('driving', 'driver1', 'truck1')' is used by the next step, Step 2 (drive-truck(truck1, s3, s1, driver1))?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly."
(and (on d1 d3) (clear d1) (on d2 peg2) (clear d2) (on d3 peg3) (clear peg1)),"1: move(d1, peg2, d3) ; 2: move(d2, peg3, peg2) ; 3: move(d1, d3, d2) ; 4: move(d3, peg1, peg3) ; 5: move(d1, d2, d3)","Is the action in Step 1 (move(d1, peg2, d3)) 'very busy' in the sense that its effect '('clear', 'peg2')' is used by the next step, Step 2 (move(d2, peg3, peg2))?",Yes,"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Very Busy Expressions
Definition: An expression is very busy if on every path forward from that point, the expression will be evaluated before any operand changes.

Given the following planning task:

  Goal: (and (on d1 d3) (clear d1) (on d2 peg2) (clear d2) (on d3 peg3) (clear peg1))

  Plan steps:
1: move(d1, peg2, d3)
2: move(d2, peg3, peg2)
3: move(d1, d3, d2)
4: move(d3, peg1, peg3)
5: move(d1, d2, d3)

Question:
  Is the action in Step 1 (move(d1, peg2, d3)) 'very busy' in the sense that its effect '('clear', 'peg2')' is used by the next step, Step 2 (move(d2, peg3, peg2))?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly."
(and (at c0 l0) (at c1 l2) (at c2 l0)),"1: sail(l2, l3) ; 2: board(c2, l3) ; 3: sail(l3, l0) ; 4: debark(c2, l0)","Is the action in Step 1 (sail(l2, l3)) 'very busy' in the sense that its effect '('at-ferry', 'l3')' is used by the next step, Step 2 (board(c2, l3))?",Yes,"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Very Busy Expressions
Definition: An expression is very busy if on every path forward from that point, the expression will be evaluated before any operand changes.

Given the following planning task:

  Goal: (and (at c0 l0) (at c1 l2) (at c2 l0))

  Plan steps:
1: sail(l2, l3)
2: board(c2, l3)
3: sail(l3, l0)
4: debark(c2, l0)

Question:
  Is the action in Step 1 (sail(l2, l3)) 'very busy' in the sense that its effect '('at-ferry', 'l3')' is used by the next step, Step 2 (board(c2, l3))?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly."
(and (at c0 l1) (at c1 l1) (at c2 l2)),"1: sail(l3, l0) ; 2: board(c0, l0) ; 3: sail(l0, l1) ; 4: debark(c0, l1) ; 5: sail(l1, l0) ; 6: board(c1, l0) ; 7: sail(l0, l1) ; 8: debark(c1, l1)","Is the action in Step 3 (sail(l0, l1)) 'very busy' in the sense that its effect '('at-ferry', 'l1')' is used by the next step, Step 4 (debark(c0, l1))?",Yes,"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Very Busy Expressions
Definition: An expression is very busy if on every path forward from that point, the expression will be evaluated before any operand changes.

Given the following planning task:

  Goal: (and (at c0 l1) (at c1 l1) (at c2 l2))

  Plan steps:
1: sail(l3, l0)
2: board(c0, l0)
3: sail(l0, l1)
4: debark(c0, l1)
5: sail(l1, l0)
6: board(c1, l0)
7: sail(l0, l1)
8: debark(c1, l1)

Question:
  Is the action in Step 3 (sail(l0, l1)) 'very busy' in the sense that its effect '('at-ferry', 'l1')' is used by the next step, Step 4 (debark(c0, l1))?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly."
(and (on d1 d2) (clear d1) (on d2 peg1) (on d3 peg2) (clear d3) (clear peg3)),"1: move(d1, d2, peg2) ; 2: move(d2, d3, peg1) ; 3: move(d1, peg2, d2) ; 4: move(d3, peg3, peg2)","Is the action in Step 1 (move(d1, d2, peg2)) 'very busy' in the sense that its effect '('clear', 'd2')' is used by the next step, Step 2 (move(d2, d3, peg1))?",Yes,"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Very Busy Expressions
Definition: An expression is very busy if on every path forward from that point, the expression will be evaluated before any operand changes.

Given the following planning task:

  Goal: (and (on d1 d2) (clear d1) (on d2 peg1) (on d3 peg2) (clear d3) (clear peg3))

  Plan steps:
1: move(d1, d2, peg2)
2: move(d2, d3, peg1)
3: move(d1, peg2, d2)
4: move(d3, peg3, peg2)

Question:
  Is the action in Step 1 (move(d1, d2, peg2)) 'very busy' in the sense that its effect '('clear', 'd2')' is used by the next step, Step 2 (move(d2, d3, peg1))?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly."
(and (at c0 l2) (at c1 l3) (at c2 l2)),"1: sail(l1, l0) ; 2: board(c1, l0) ; 3: sail(l0, l3) ; 4: debark(c1, l3) ; 5: board(c0, l3) ; 6: sail(l3, l2) ; 7: debark(c0, l2) ; 8: sail(l2, l0) ; 9: board(c2, l0) ; 10: sail(l0, l2) ; 11: debark(c2, l2)","Is the action in Step 4 (debark(c1, l3)) 'very busy' in the sense that its effect '('empty-ferry',)' is used by the next step, Step 5 (board(c0, l3))?",Yes,"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Very Busy Expressions
Definition: An expression is very busy if on every path forward from that point, the expression will be evaluated before any operand changes.

Given the following planning task:

  Goal: (and (at c0 l2) (at c1 l3) (at c2 l2))

  Plan steps:
1: sail(l1, l0)
2: board(c1, l0)
3: sail(l0, l3)
4: debark(c1, l3)
5: board(c0, l3)
6: sail(l3, l2)
7: debark(c0, l2)
8: sail(l2, l0)
9: board(c2, l0)
10: sail(l0, l2)
11: debark(c2, l2)

Question:
  Is the action in Step 4 (debark(c1, l3)) 'very busy' in the sense that its effect '('empty-ferry',)' is used by the next step, Step 5 (board(c0, l3))?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly."
(and (on d1 peg3) (clear d1) (on d2 peg2) (clear d2) (clear peg1)),"1: move(d1, d2, peg1) ; 2: move(d2, peg3, peg2) ; 3: move(d1, peg1, peg3)","Is the action in Step 2 (move(d2, peg3, peg2)) 'very busy' in the sense that its effect '('clear', 'peg3')' is used by the next step, Step 3 (move(d1, peg1, peg3))?",Yes,"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Very Busy Expressions
Definition: An expression is very busy if on every path forward from that point, the expression will be evaluated before any operand changes.

Given the following planning task:

  Goal: (and (on d1 peg3) (clear d1) (on d2 peg2) (clear d2) (clear peg1))

  Plan steps:
1: move(d1, d2, peg1)
2: move(d2, peg3, peg2)
3: move(d1, peg1, peg3)

Question:
  Is the action in Step 2 (move(d2, peg3, peg2)) 'very busy' in the sense that its effect '('clear', 'peg3')' is used by the next step, Step 3 (move(d1, peg1, peg3))?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly."
(and (on d1 peg3) (clear d1) (on d2 d3) (clear d2) (on d3 peg1) (clear peg2)),"1: move(d2, d3, peg2) ; 2: move(d1, peg1, d2) ; 3: move(d3, peg3, peg1) ; 4: move(d1, d2, peg3) ; 5: move(d2, peg2, d3)","Is the action in Step 2 (move(d1, peg1, d2)) 'very busy' in the sense that its effect '('clear', 'peg1')' is used by the next step, Step 3 (move(d3, peg3, peg1))?",Yes,"You are an AI analyst being evaluated on data-flow analyses for planning tasks.
Benchmark: Very Busy Expressions
Definition: An expression is very busy if on every path forward from that point, the expression will be evaluated before any operand changes.

Given the following planning task:

  Goal: (and (on d1 peg3) (clear d1) (on d2 d3) (clear d2) (on d3 peg1) (clear peg2))

  Plan steps:
1: move(d2, d3, peg2)
2: move(d1, peg1, d2)
3: move(d3, peg3, peg1)
4: move(d1, d2, peg3)
5: move(d2, peg2, d3)

Question:
  Is the action in Step 2 (move(d1, peg1, d2)) 'very busy' in the sense that its effect '('clear', 'peg1')' is used by the next step, Step 3 (move(d3, peg3, peg1))?

Please answer with only “Yes” or “No” without any further explanation. Adhere to this rule strictly."
